Text A,Text B,Threshold,Cutoff,N-Grams,Num Matches,Text A Length,Text B Length,Locations in A,Locations in B
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_25474086.txt","3","5","3","1","1460281","48541","[(334922, 335011)]","[(2215, 2297)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_3721678.txt","3","5","3","1","1460281","61396","[(478048, 478132)]","[(47617, 47697)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_1768475.txt","3","5","3","1","1460281","42828","[(5475, 5947)]","[(28220, 28665)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_23342806.txt","3","5","3","5","1460281","41060","[(296676, 296759), (1122825, 1123526), (1203324, 1203562), (1208681, 1208837), (1317256, 1317528)]","[(3437, 3516), (9826, 10466), (26374, 26582), (28908, 29052), (32008, 32258)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_24598848.txt","3","5","3","1","1460281","33177","[(177213, 177359)]","[(18374, 18512)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_44871042.txt","3","5","3","1","1460281","47150","[(262551, 262802)]","[(19220, 19456)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_44871045.txt","3","5","3","4","1460281","58778","[(753866, 754234), (940508, 940670), (940785, 941345), (941147, 941441)]","[(42000, 42334), (51219, 51369), (51443, 51928), (51738, 52017)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_25477866.txt","3","5","3","2","1460281","43972","[(425276, 425458), (427100, 427387)]","[(30511, 30688), (30773, 31045)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_25487154.txt","3","5","3","2","1460281","26942","[(39541, 39744), (508817, 508975)]","[(15222, 15414), (19491, 19641)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_27534611.txt","3","5","3","1","1460281","22619","[(951220, 951458)]","[(21269, 21514)]"
