Text A,Text B,Threshold,Cutoff,N-Grams,Num Matches,Text A Length,Text B Length,Locations in A,Locations in B
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.html","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_25474086.txt","3","5","3","1","1460562","48541","[(335153, 335242)]","[(2215, 2297)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.html","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_3721678.txt","3","5","3","1","1460562","61396","[(478279, 478363)]","[(47617, 47697)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.html","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_1768475.txt","3","5","3","1","1460562","42828","[(5707, 6179)]","[(28220, 28665)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.html","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_23342806.txt","3","5","3","5","1460562","41060","[(296907, 296990), (1123063, 1123764), (1203562, 1203800), (1208919, 1209075), (1317494, 1317766)]","[(3437, 3516), (9826, 10466), (26374, 26582), (28908, 29052), (32008, 32258)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.html","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_24598848.txt","3","5","3","1","1460562","33177","[(177444, 177590)]","[(18374, 18512)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.html","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_44871042.txt","3","5","3","1","1460562","47150","[(262782, 263033)]","[(19220, 19456)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.html","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_44871045.txt","3","5","3","4","1460562","58778","[(754099, 754467), (940746, 940908), (941023, 941583), (941385, 941679)]","[(42000, 42334), (51219, 51369), (51443, 51928), (51738, 52017)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.html","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_25477866.txt","3","5","3","2","1460562","43972","[(425507, 425689), (427331, 427618)]","[(30511, 30688), (30773, 31045)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.html","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_25487154.txt","3","5","3","2","1460562","26942","[(39773, 39976), (509053, 509211)]","[(15222, 15414), (19491, 19641)]"
"../texts/corpus-joyce-finnegans-wake-tei/finnegans-wake-corrected.html","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_27534611.txt","3","5","3","1","1460562","22619","[(951458, 951696)]","[(21269, 21514)]"
